"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,151.5,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,158,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,151.975,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,167.6,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,211.625,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,235.15,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,236.55,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,237.475,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,239.625,"B","Break"
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,235.825,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,246.075,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,258.1,,
"BEL","Belgium","YW99N4L1_ST","Administrative and support service activities (N)","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,245.55,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,2178.65,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,2210.375,"B","Break"
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,2184.225,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,2248.425,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,2294.625,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,2367.775,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,2412.275,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,2449.2,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,2493.4,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,2554.425,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,2622.775,,
"DEU","Germany","YW99P4L1_ST","Education (P)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,2681.75,"B","Break"
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,565.9,,
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,571.325,,
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,671.325,,
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,787.175,,
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,835.925,"B","Break"
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,954.325,,
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,1034.225,,
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,1097.975,,
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,1160.075,,
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,1403.225,,
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,1463.2,,
"TUR","Türkiye","YW99Q4L1_ST","Human health and social work activities (Q)","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,1430.35,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,18614.85,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,19071.12,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,19560.77,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,19885.24,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,20846.24,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,21056.32,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,21127.26,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,21535.24,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,21917.62,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,22245.24,,
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,22748.19,,
